epochs,losses,size_losses,religion_losses,ethnicity_losses,religion_accuracies,ethnicity_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values,learning_rate,hidden_channels,combination_id
1,29.04291343688965,8.612947463989258,13.699606895446777,6.730360507965088,44.06750767132629,70.35458574838049,61.59065365791321,58.67091569254001,3.369586706161499,3.369586706161499,0.995,0.001,64,lr_0.001_hc_64
2,26.569448471069336,6.44927453994751,13.524869918823242,6.595304012298584,45.09035117627003,70.37163314012956,63.9925479888916,59.81817743509706,7.402809143066406,3.8014514446258545,0.990025,0.001,64,lr_0.001_hc_64
3,25.033952713012695,5.140430927276611,13.462591171264648,6.430931091308594,45.12444595976815,70.45687009887487,66.09420776367188,60.558507940771634,10.858574628829956,3.2282261848449707,0.985074875,0.001,64,lr_0.001_hc_64
4,24.08732032775879,4.293512344360352,13.424407958984375,6.369399547576904,44.88578247528128,70.18411183088988,68.22463274002075,61.09817568206397,14.263273000717163,3.174527406692505,0.9801495006250001,0.001,64,lr_0.001_hc_64
5,23.21411895751953,3.6254801750183105,13.220159530639648,6.368479251861572,44.93692465052847,70.50801227412205,69.45517659187317,61.63337117217457,18.031524419784546,3.5393683910369873,0.9752487531218751,0.001,64,lr_0.001_hc_64
6,22.75502586364746,3.1779537200927734,13.267715454101562,6.309356689453125,46.045005114217524,71.00238663484487,69.90153193473816,62.316307894600186,21.744400024414062,3.4483938217163086,0.9703725093562657,0.001,64,lr_0.001_hc_64
7,22.341327667236328,2.871951103210449,13.02468490600586,6.4446916580200195,46.81213774292533,71.309239686328,69.75725293159485,62.62621012028272,25.192352056503296,3.1691384315490723,0.9655206468094844,0.001,64,lr_0.001_hc_64
8,21.7447452545166,2.594996929168701,12.992226600646973,6.157521724700928,46.84623252642346,71.65018752130923,70.12609243392944,62.87417082722072,29.115225315093994,3.6988344192504883,0.960693043575437,0.001,64,lr_0.001_hc_64
9,21.04091453552246,2.3948814868927,12.492807388305664,6.153225421905518,47.98840777361064,71.49676099556768,72.04194664955139,63.842371806243236,32.69447040557861,3.3204598426818848,0.9558895783575597,0.001,64,lr_0.001_hc_64
10,20.989744186401367,2.2631235122680664,12.475397109985352,6.251223087310791,47.78383907262189,71.13876576883736,72.36494421958923,63.76251635368283,36.070663928985596,3.1461379528045654,0.9511101304657719,0.001,64,lr_0.001_hc_64
11,20.890411376953125,2.1891562938690186,12.323472023010254,6.377781867980957,48.278213433344696,71.27514490282987,71.01691365242004,63.523423996198204,39.41796135902405,3.116614580154419,0.946354579813443,0.001,64,lr_0.001_hc_64
12,20.578800201416016,2.1202034950256348,12.237765312194824,6.220831394195557,46.67575860893283,71.1728605523355,71.15643620491028,63.001685122059534,42.786890268325806,3.1336705684661865,0.9416228069143757,0.001,64,lr_0.001_hc_64
13,19.975757598876953,2.036585569381714,11.765807151794434,6.173365116119385,48.6873508353222,71.76951926355267,72.19564914703369,64.21750641530285,46.42852020263672,3.4107885360717773,0.9369146928798039,0.001,64,lr_0.001_hc_64
14,19.6594181060791,2.002300977706909,11.34286880493164,6.314248561859131,50.4091374019775,72.60484145925673,71.87031507492065,64.96143131205163,50.12118363380432,3.4427943229675293,0.9322301194154049,0.001,64,lr_0.001_hc_64
